KEY,en,notes,sp,fr,de,it,pt-br
QEVENT_STACYMUTANT1_QUES1,"{catname} находит огромную машину с кучей кнопок.

Через прозрачное окно {he} видит странного кота с двумя головами.",First time seeing event only.,"{catname} encuentra una máquina enorme con botones.

Por la ventana transparente, ve un gato rarísimo con dos cabezas.","{catname} découvre une grande machine dotée d'un tas de boutons.

À travers la fenêtre transparente, {he} aperçoit un étrange chat avec une tête supplémentaire.","{catname} findet eine große Maschine mit mehreren Knöpfen.

Durch das Fenster kann {he} eine komische Katze mit zwei Köpfen sehen.","{catname} trova una grande macchina con diversi pulsanti.

Attraverso la finestra trasparente vede uno strano gatto con una testa in più.","{catname} encontra uma máquina grande com vários botões.

Através da janela transparente, é possível ver um gato estranho com uma cabeça extra."
QEVENT_STACYMUTANT1_QUES1_M,,,,,,,
QEVENT_STACYMUTANT1_QUES1_F,,,,,,,
QEVENT_STACYMUTANT1_QUES1_N,"{catname} находит огромную машину с кучей кнопок.

Через прозрачное окно они видят странного кота с двумя головами.",,"{catname} encuentra una máquina enorme con botones.

Por la ventana transparente, ve un gato rarísimo con dos cabezas.","{catname} découvre une grande machine dotée d'un tas de boutons.

À travers la fenêtre transparente, iel aperçoit un étrange chat avec une tête supplémentaire.","{catname} findet eine große Maschine mit mehreren Knöpfen.

Durch das Fenster ist eine komische Katze mit zwei Köpfen zu sehen.","{catname} trova una grande macchina con diversi pulsanti.

Attraverso la finestra trasparente vede uno strano gatto con una testa in più.",
QEVENT_STACYMUTANT1_QUES2,"{catname} подходит к машине и раздумывает над вариантами.

Какую мутацию тела дать клону Стейси?",,"{catname} se acerca a la máquina y valora sus opciones.

¿Qué mutación corporal debería aplicarle al clon de Stacy?","{catname} s'approche de la machine et soupèse ses options.

Quelle mutation corporelle devrait-{he} donner au clone de Stacy&nbsp;?","{catname} nähert sich der Maschine und fragt sich, was {he} tun soll.

Was für eine Körpermutation soll {he} dem Klon von Stacy verpassen?","{catname} si avvicina alla macchina e considera le sue opzioni.

Quale mutazione corporea dovrebbe fornire al clone di Stacy?","{catname} se aproxima da máquina e considera suas opções.

Qual mutação corporal será dada ao clone de Stacy?"
QEVENT_STACYMUTANT1_QUES2_M,,,,,,,
QEVENT_STACYMUTANT1_QUES2_F,,,,,,,
QEVENT_STACYMUTANT1_QUES2_N,,,,,,,
QEVENT_STACYMUTANT1_ANSW1,Шипы,,Espinas,Épines,Dornen,Spine,Espinhos
QEVENT_STACYMUTANT1_REW1,"Робот-рука спускается и вводит инъекцию.

Шипы пробиваются сквозь кожу кота!",,"Un brazo robótico cae y le aplica la inyección al clon.

De pronto, emergen pinchos a través de la piel del gato.","Un bras robotique s'abaisse et injecte le clone.

Des épines jaillissent à travers la peau du chat&nbsp;!","Ein Roboterarm fährt herunter und verpasst dem Klon eine Spritze.

Dornen sprießen aus seiner Haut hervor!","Compare un braccio robotico che inietta qualcosa al clone.

Delle spine iniziano a fuoriuscire dalla pelle del gatto!","Um braço robótico desce e injeta algo no clone.

Espinhos irrompem pela pele do gato!"
QEVENT_STACYMUTANT1_REW1_M,,,,,,,
QEVENT_STACYMUTANT1_REW1_F,,,,,,,
QEVENT_STACYMUTANT1_REW1_N,,,,,,,
QEVENT_STACYMUTANT1_ANSW2,Скоба,,Refuerzo,Garde,Wappnen,Guardia,Preparação
QEVENT_STACYMUTANT1_REW2,"Робот-рука спускается и вводит инъекцию, давая клону Скобу!",,Un brazo robótico cae y le aplica la inyección al clon; ¡le otorga refuerzo!,"Un bras robotique s'abaisse et pique le clone, lui conférant Garde&nbsp;!",Ein Roboterarm fährt herunter und verpasst dem Klon eine Spritze. Er verfügt jetzt über Wappnen!,"Compare un braccio robotico che inietta qualcosa al clone, che ora ha Guardia!","Um braço robótico desce e injeta algo no clone, concedendo preparação!"
QEVENT_STACYMUTANT1_REW2_M,,,,,,,
QEVENT_STACYMUTANT1_REW2_F,,,,,,,
QEVENT_STACYMUTANT1_REW2_N,,,,,,,
QEVENT_STACYMUTANT1_ANSW3,Святой щит,,Escudo sagrado,Défense divine,Heiliger Schild,Scudo Sacro,Escudo sagrado
QEVENT_STACYMUTANT1_REW3,"Робот-рука спускается и вводит инъекцию...

Клон начинает светиться ореолом Святого щита!",,"Un brazo robótico cae y le aplica la inyección al clon.

Empieza a brillar con el aura de un escudo sagrado.","Un bras robotique s’abaisse et injecte le clone...

L'aura d’un bouclier sacré le fait scintiller&nbsp;!","Ein Roboterarm fährt herunter und verpasst dem Klon eine Spritze&nbsp;…

Er fängt an mit der Aura eines Heiligen Schilds zu leuchten!","Compare un braccio robotico che inietta qualcosa al clone.

Ora brilla con l'aura di uno Scudo Sacro!","Um braço robótico desce e injeta algo no clone...

Ele começa a brilhar com a aura de um escudo sagrado!"
QEVENT_STACYMUTANT1_REW3_M,,,,,,,
QEVENT_STACYMUTANT1_REW3_F,,,,,,,
QEVENT_STACYMUTANT1_REW3_N,,,,,,,
QEVENT_STACYMUTANT1_ANSW4,"Спасибо, нет",,"No, gracias",Non merci,"Nein, danke","No, grazie","Não, obrigado"
QEVENT_STACYMUTANT1_REW4,"{catname} тянет рычаг пропуска и машина громко пищит.

Робот-рука спускается и вводит инъекцию {catname}!",,"{catname} tira de la palanca para rechazarlo y la máquina empieza a pitar estridentemente.

¡Un brazo robótico cae y le aplica la inyección a {catname}!","{catname} tire le levier pour passer, puis la machine émet un bip strident.

Un bras robotique s'abaisse et pique {catname}&nbsp;!","{catname} betätigt den Schalter zum Überspringen und die Maschine piepst laut auf.

Ein Roboterarm fährt herunter und verpasst {catname} eine Spritze!","{catname} tira la leva per annullare e la macchina inizia a emettere un segnale acustico.

Compare un braccio robotico che inietta {catname}!","{catname} puxa a alavanca para pular e a máquina emite um bipe alto.

Um braço robótico desce e injeta algo em {catname}!"
QEVENT_STACYMUTANT1_REW4_M,,,,,,,
QEVENT_STACYMUTANT1_REW4_F,,,,,,,
QEVENT_STACYMUTANT1_REW4_N,,,,,,,
QEVENT_STACYMUTANT1_REW4_B,{catname} отравлен и чувствует себя плохо...,,Han envenenado a {catname} y se siente fatal...,{catname} s'est fait empoisonner. {He} se sent malade...,{catname} wurde vergiftet&nbsp;…,Il veleno è entrato nel flusso sanguigno di {catname} che si sente male...,{catname} se envenenou e se sente doente...
QEVENT_STACYMUTANT1_REW4_B_M,,,,,,,
QEVENT_STACYMUTANT1_REW4_B_F,,,,,,,
QEVENT_STACYMUTANT1_REW4_B_N,,,,,,,
QEVENT_STACYMUTANT2_NAME,Эксперимент Стейси,,Experimento de Stacy,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy
QEVENT_STACYMUTANT2_QUES,Машина показывает {catname} кнопки со стихийными символами.,,La máquina le ofrece a {catname} unos botones con símbolos elementales dibujados.,La machine présente à {catname} des boutons ornés de symboles élémentaires.,Auf der Maschine befinden sich Knöpfe mit Elementarsymbolen.,La macchina davanti a {catname} ha dei pulsanti con simboli elementali.,A máquina apresenta botões com símbolos de elementos para {catname}.
QEVENT_STACYMUTANT2_QUES_M,,,,,,,
QEVENT_STACYMUTANT2_QUES_F,,,,,,,
QEVENT_STACYMUTANT2_QUES_N,,,,,,,
QEVENT_STACYMUTANT2_ANSW1,Огонь,,Fuego,Feu,Feuer,Fuoco,Fogo
QEVENT_STACYMUTANT2_REW1,"Машина вводит клону инъекцию...

Его шерсть становится алой, а над головой появляется огненный шар!",,"La máquina le aplica la inyección al clon...

Se le pone el pelo rojo y aparece un orbe llameante sobre su cabeza.","La machine pique le clone...

Son pelage devient cramoisi et un orbe enflammé apparaît au-dessus de sa tête&nbsp;!","Die Maschine verpasst dem Klon eine Spritze&nbsp;…

Sein Fell wird feuerrot und eine brennende Kugel taucht über seinem Kopf auf!","La macchina inietta qualcosa al clone...

La sua pelliccia diventa cremisi e una sfera fiammeggiante appare sopra la sua testa!","A máquina injeta algo no clone...

Seu pelo fica carmesim e uma esfera flamejante aparece sobre sua cabeça!"
QEVENT_STACYMUTANT2_REW1_M,,,,,,,
QEVENT_STACYMUTANT2_REW1_F,,,,,,,
QEVENT_STACYMUTANT2_REW1_N,,,,,,,
QEVENT_STACYMUTANT2_ANSW2,Лёд,,Hielo,Glace,Eis,Ghiaccio,Gelo
QEVENT_STACYMUTANT2_REW2,"Клон становится ледяно-синим, пронизанный ледяной стихией!",,El clon se pone de un color azul gélido y obtiene el hielo elemental.,Le clone devient tout bleu quand il est imprégné de l'élément glace&nbsp;!,"Der Klon wird eisblau, als die Maschine ihm Eiselement spritzt!",Il clone diventa di colore blu ghiaccio dopo l'infusione di ghiaccio elementale!,O clone fica azul gelo ao ser infundido com gelo elemental!
QEVENT_STACYMUTANT2_REW2_M,,,,,,,
QEVENT_STACYMUTANT2_REW2_F,,,,,,,
QEVENT_STACYMUTANT2_REW2_N,,,,,,,
QEVENT_STACYMUTANT2_ANSW3,Молния,,Rayo,Éclair,Blitz,Fulmini,Eletricidade
QEVENT_STACYMUTANT2_REW3,Электрические искры танцуют в шерсти клона!,,El pelo del clon lanza chispas de electricidad.,Des étincelles de foudre parcourent le pelage du clone&nbsp;!,Winzige Funken blitzen im Fell des Klons auf!,Scintille di fulmini attraversano la pelliccia del clone!,Faíscas cintilam pela pelagem do clone!
QEVENT_STACYMUTANT2_REW3_M,,,,,,,
QEVENT_STACYMUTANT2_REW3_F,,,,,,,
QEVENT_STACYMUTANT2_REW3_N,,,,,,,
QEVENT_STACYMUTANT2_ANSW4,"Нет, спасибо",,"No, gracias",Non merci,"Nein, danke","No, grazie","Não, obrigado"
QEVENT_STACYMUTANT2_REW4,{catname} дёргает рычаг аварийной остановки и машина вводит инъекцию {him} вместо этого!,,{catname} tira de la palanca para rechazar la opción y la máquina le aplica la inyección en vez de al clon.,{catname} tire le levier d'abandon et se fait piquer par la machine à la place&nbsp;!,{catname} betätigt den Schalter zum abbrechen und die Maschine wählt {him} als neues Ziel!,{catname} tira la leva per annullare e subisce un'iniezione da parte della macchina!,{catname} puxa a alavanca de abortar e a máquina injeta algo em seu próprio corpo!
QEVENT_STACYMUTANT2_REW4_M,,,,,,,
QEVENT_STACYMUTANT2_REW4_F,,,,,,,
QEVENT_STACYMUTANT2_REW4_N,,,,,,,
QEVENT_STACYMUTANT3_NAME,Опыт Стейси,,Experimento de Stacy,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy
QEVENT_STACYMUTANT3_QUES,"Клон за стеклом мурчит от восторга, когда машина предлагает {catname} кнопки модификации характеристик...",,El clon al otro lado de la ventana ronronea de emoción cuando la máquina le muestra a {catname} unos botones de modificación de atributos.,Le clone derrière la vitre ronronne d'excitation tandis que la machine présente à {catname} des boutons de modification de caractéristiques...,"Der Klon hinter dem Fenster schnurrt gespannt, als die Maschine {catname} verschiedene Knöpfe für die Modifikation von Attributen präsentiert&nbsp;…",Il clone dall'altra parte del vetro fa le fusa per l'emozione mentre la macchina propone a {catname} dei pulsanti di modifica delle statistiche...,O clone do outro lado da janela ronrona de excitação enquanto a máquina apresenta a {catname} botões de modificação de atributos...
QEVENT_STACYMUTANT3_QUES_M,,,,,,,
QEVENT_STACYMUTANT3_QUES_F,,,,,,,
QEVENT_STACYMUTANT3_QUES_N,,,,,,,
QEVENT_STACYMUTANT3_ANSW1,"Здоровье ↑, Скорость ↓",,"Salud aumentada, velocidad reducida",Santé (+) & Vitesse (-),"Gesundheit hoch, Geschwindigkeit runter","Salute +, Velocità -","Saúde aumentada, velocidade diminuída"
QEVENT_STACYMUTANT3_REW1,Клон модифицирован: Здоровье ↑ и Скорость ↓!,,El clon ahora tiene salud aumentada y velocidad reducida.,Le clone gagne en santé et perd en vitesse&nbsp;!,Die Gesundheit des Klons wurde erhöht und seine Geschwindigkeit verringert!,Il clone ha subito una modifica: ora ha Salute + e Velocità -!,O clone foi modificado para obter saúde aumentada e velocidade diminuída!
QEVENT_STACYMUTANT3_REW1_M,,,,,,,
QEVENT_STACYMUTANT3_REW1_F,,,,,,,
QEVENT_STACYMUTANT3_REW1_N,,,,,,,
QEVENT_STACYMUTANT3_ANSW2,"Урон ↑, Здоровье ↓",,"Daño aumentado, salud reducida",Dégâts (+) & Santé (-),"Schaden hoch, Gesundheit runter","Danno +, Salute -","Dano aumentado, saúde diminuída"
QEVENT_STACYMUTANT3_REW2,Клон модифицирован: Урон ↑ и Здоровье ↓!,,El clon ahora tiene daño aumentado y salud reducida.,Le clone gagne en dégâts et perd en santé&nbsp;!,Der Schaden des Klons wurde erhöht und seine Gesundheit verringert!,Il clone ha subito una modifica: ora ha Danno + e Salute -!,O clone foi modificado para obter dano aumentado e saúde diminuída!
QEVENT_STACYMUTANT3_REW2_M,,,,,,,
QEVENT_STACYMUTANT3_REW2_F,,,,,,,
QEVENT_STACYMUTANT3_REW2_N,,,,,,,
QEVENT_STACYMUTANT3_ANSW3,"Скорость ↑, Урон ↓",,"Velocidad aumentada, daño reducido",Vitesse (+) & Dégâts (-),"Geschwindigkeit hoch, Schaden runter","Velocità +, Danno -","Velocidade aumentada, dano diminuído"
QEVENT_STACYMUTANT3_REW3,Клон получил: Скорость ↑ и Урон ↓!,,El clon ahora tiene velocidad aumentada y daño reducido.,Le clone gagne en vitesse et perd en dégâts&nbsp;!,Die Geschwindigkeit des Klons wurde erhöht und sein Schaden verringert!,Il clone ha subito una modifica: ora ha Velocità + e Danno -!,O clone foi modificado para obter velocidade aumentada e dano diminuído!
QEVENT_STACYMUTANT3_REW3_M,,,,,,,
QEVENT_STACYMUTANT3_REW3_F,,,,,,,
QEVENT_STACYMUTANT3_REW3_N,,,,,,,
QEVENT_STACYMUTANT3_ANSW4,"Нет, спасибо",,"No, gracias",Non merci,"Nein, danke","No, grazie","Não, obrigado"
QEVENT_STACYMUTANT3_REW4,"Машина вводит инъекцию {catname}. {He} пронзительно кричит, пока {his} тело рвётся на части!",,"La máquina le aplica la inyección a {catname}, que grita de dolor cuando su cuerpo se contorsiona y se rompe.",La machine pique {catname}. {He} hurle de douleur tandis que son corps tout entier se retrouve déchiqueté&nbsp;!,"Die Maschine spritzt {catname} eine Flüssigkeit. {He} jault laut auf, als {his} gesamter Körper auseinandergerissen wird!",La macchina inietta qualcosa a {catname} che urla di dolore mentre il suo intero corpo viene lacerato!,"A máquina injeta algo em {catname}, que grita de dor enquanto seu corpo inteiro é dilacerado e quebrado!"
QEVENT_STACYMUTANT3_REW4_M,,,,,,,
QEVENT_STACYMUTANT3_REW4_F,,,,,,,
QEVENT_STACYMUTANT3_REW4_N,"Машина вводит инъекцию {catname}. Они пронзительно кричат, пока их тело рвётся на части!",,"La máquina le aplica la inyección a {catname}, que grita de dolor cuando su cuerpo se contorsiona y se rompe.",La machine pique {catname}. Iel hurle de douleur tandis que son corps tout entier se retrouve déchiqueté&nbsp;!,Die Maschine spritzt {catname} eine Flüssigkeit. {catname} jault vor Schmerzen laut auf!,La macchina inietta qualcosa a {catname} che urla di dolore mentre il suo intero corpo viene lacerato!,
QEVENT_STACYMUTANT4_NAME,Опыт Стейси,,Experimento de Stacy,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy
QEVENT_STACYMUTANT4_QUES,Финальная фаза мутации клона. {catname} должен выбрать мутацию головы!,,Ha llegado la fase final de mutación del clon. {catname} tiene que elegir la última mutación de la cabeza.,La phase finale de mutation du clone est là. {catname} doit choisir une mutation de tête&nbsp;!,"Dies ist die letzte Mutationsphase. {catname} muss eine Mutation für den Kopf wählen!
",È iniziata la fase finale della mutazione del clone. {catname} deve scegliere una mutazione della testa!,A fase final da mutação do clone foi atingida. {catname} deve selecionar uma mutação de cabeça!
QEVENT_STACYMUTANT4_QUES_M,,,,,,,
QEVENT_STACYMUTANT4_QUES_F,,,,,,,
QEVENT_STACYMUTANT4_QUES_N,,,,,,,
QEVENT_STACYMUTANT4_ANSW1,Двойная голова,,Doble cabeza,Double tête,Zwei Köpfe,Doppia Testa,Cabeça dupla
QEVENT_STACYMUTANT4_REW1,"Из клона пробивается вторая голова!

Теперь он получает дополнительный ход в раунде.",,"Al clon le sale otra cabeza.

Ahora puede jugar otro turno en cada ronda.","Une tête supplémentaire jaillit du clone&nbsp;!

Il dispose désormais d'un tour supplémentaire à chaque manche.","Ein zusätzlicher Kopf sprießt aus dem Klon hervor!

Er hat jetzt einen zusätzlichen Zug pro Runde.","Nel clone compare una seconda testa!

Ora usufruirà di un turno aggiuntivo ogni round.","Uma cabeça adicional surge no clone!

Agora ele possui um turno extra em cada rodada."
QEVENT_STACYMUTANT4_REW1_M,,,,,,,
QEVENT_STACYMUTANT4_REW1_F,,,,,,,
QEVENT_STACYMUTANT4_REW1_N,,,,,,,
QEVENT_STACYMUTANT4_ANSW2,Третья лапа,,Tercera pata,Troisième patte,Dritte Pfote,Terza Zampa,Terceira pata
QEVENT_STACYMUTANT4_REW2,"Машина вводит последнюю инъекцию...

Из головы вырастает третья лапа, дающая кровотечение и контратаки!",,"La máquina le aplica una última inyección al clon...

Le crece una tercera pata de la cabeza, lo que le otorga hemorragia y contrataques.","La machine pique le clone une dernière fois...

Une troisième patte pousse hors de sa tête, lui conférant des attaques de saignement et de contre&nbsp;!","Die Maschine injiziert den Klon ein letztes Mal&nbsp;…

Eine dritte Pfote wächst aus seinem Kopf und verleiht ihm Blutung und Konter!","La macchina inietta qualcosa al clone per l'ultima volta...

Dalla sua testa compare una terza zampa e ora ha Sanguinamento e contrattacchi!","A máquina injeta algo no clone pela última vez...

Uma terceira pata cresce em sua cabeça, concedendo sangramento e contra-ataques!"
QEVENT_STACYMUTANT4_REW2_M,,,,,,,
QEVENT_STACYMUTANT4_REW2_F,,,,,,,
QEVENT_STACYMUTANT4_REW2_N,,,,,,,
QEVENT_STACYMUTANT4_ANSW3,Зеркальный блеск,,Brillo de espejo,Reflet miroir,Spiegelglanz,Specchio Riflesso,Brilho espelhado
QEVENT_STACYMUTANT4_REW3,"Глаза клона становятся отражающими зеркалами!

Он получил Отражение снарядов и Магический выброс!",,"Los ojos del clon se convierten en espejos reflectantes.

Obtiene devolución y destello mágico.","Les yeux du clone deviennent des miroirs réfléchissants&nbsp;!

Il obtient Renvoi de projectiles et Libération magique&nbsp;!","Die Augen des Klons werden zu kreisrunden Spiegeln!

Er verfügt jetzt über Reflektion und Zauberfunken!","Gli occhi del clone diventano specchi riflettenti!

Ha ottenuto Riflessione Proiettili e Rilascio Magico!","Os olhos do clone se tornaram espelhos!

Ele obtém reflexão de projéteis e liberação de magia!"
QEVENT_STACYMUTANT4_REW3_M,,,,,,,
QEVENT_STACYMUTANT4_REW3_F,,,,,,,
QEVENT_STACYMUTANT4_REW3_N,,,,,,,
QEVENT_STACYMUTANT4_ANSW4,"Нет, спасибо",,"No, gracias",Non merci,"Nein, danke","No, grazie","Não, obrigado"
QEVENT_STACYMUTANT4_REW4,"{catname} угадывает, что будет дальше, но всё равно вздрагивает, когда машина вводит {him} инъекцию!",,"{catname} adivina lo que va a ocurrir, pero aun así, hace una mueca cuando la máquina le aplica la inyección.","{catname} se doute de ce qui l'attend, mais tire quand même la gueule quand la machine pique&nbsp;!","{catname} kann sich schon denken, was jetzt passiert, zuckt aber trotzdem zusammen, als {he} eine Spritze von der Maschine bekommt!","{catname} indovina cosa sta per succedere, ma non può fare a meno di sussultare quando subisce l'iniezione dalla macchina.","{catname} adivinha o que está por vir, mas mesmo assim recua quando a máquina injeta algo em seu corpo!"
QEVENT_STACYMUTANT4_REW4_M,,,,,,,
QEVENT_STACYMUTANT4_REW4_F,,,,,,,
QEVENT_STACYMUTANT4_REW4_N,,,,,,,
QEVENT_STACYMUTANT4_REW5,{Catname} чувствует себя истощённым...,,{Catname} siente el agotamiento en el cuerpo.,{Catname} est tout raplapla...,{Catname} ist erschöpft&nbsp;…,{catname} avverte una forte spossatezza...,{Catname} sente um grande cansaço...
QEVENT_STACYMUTANT4_REW5_M,,,,,,,
QEVENT_STACYMUTANT4_REW5_F,,,,,,,
QEVENT_STACYMUTANT4_REW5_N,,,,,,,
