KEY,en,notes,sp,fr,de,it,pt-br
FURNITURE_NAME_SPECIAL_STIMULATIONIDOL,Идол стимуляции,,Ídolo de la estimulación ,Idole de Stimulation,Idol der Stimulation ,Idolo della Stimolazione,Ídolo de estimulação
FURNITURE_DESC_SPECIAL_STIMULATIONIDOL,,,,,,,
FURNITURE_NAME_SPECIAL_FIGHTIDOL,Идол Хаоса,,Ídolo del caos,Idole du Chaos,Idol des Chaos,Idolo del Caos,Ídolo de caos
FURNITURE_DESC_SPECIAL_FIGHTIDOL,"Бои более смертоносны, но победивший кот получает вдвое больше наград за характеристики.",,"Los combates son más sangrientos, pero el gato ganador recibe el doble de recompensas de atributos.","Les combats sont plus sanguinaires, mais le chat vainqueur remporte le double des récompenses en stats.","Kämpfe sind tödlicher, aber Attributsbelohnungen sind verdoppelt.","I combattimenti sono più letali, ma il gatto vincitore ottiene il doppio delle ricompense alle statistiche.","Lutas são mais mortais, mas os gatos vencedores obtêm o dobro de recompensas de atributos."
FURNITURE_NAME_SPECIAL_SUPPRESSORIDOL,Идол целомудрия,,Ídolo de la castidad,Idole de Chasteté,Idol der Keuschheit,Idolo della castità,Ídolo de castidade
FURNITURE_DESC_SPECIAL_SUPPRESSORIDOL,Кошки не размножаются.,,Los gatos no se aparean.,Les chats ne se reproduiront pas.,Katzen pflanzen sich nicht fort.,I gatti non si riproducono.,Gatos não procriam.
FURNITURE_NAME_SET_SPIDER_CANDELABRA,Паук Канделябры,,Candelabro arácnido,Candélabre araignée,Spinnenkronleuchter,Candelabro aracnide,Candelabro de aranha
FURNITURE_DESC_SET_SPIDER_CANDELABRA,,,,,,,
FURNITURE_NAME_SET_SPIDER_VANITY,Паучье тщеславие,,Tocador arácnido,Coiffeuse araignée,Spinnenfrisiertisch,Toeletta aracnide,Penteadeira de aranha
FURNITURE_DESC_SET_SPIDER_VANITY,,,,,,,
FURNITURE_NAME_SET_SPIDER_CHAIR,Стул Паук,,Silla arácnida,Chaise araignée,Spinnenstuhl,Sedia aracnide,Cadeira de aranha
FURNITURE_DESC_SET_SPIDER_CHAIR,,,,,,,
FURNITURE_NAME_SET_SPIDER_TABLE,Стол-паук,,Mesa arácnida,Table araignée,Spinnentisch,Tavolo aracnide,Mesa de aranha
FURNITURE_DESC_SET_SPIDER_TABLE,,,,,,,
FURNITURE_NAME_SET_SPIDER_DRESSER,Комод-паук,,Aparador arácnido,Commode araignée,Spinnenkleiderschrank,Comò aracnide,Cômoda de aranha
FURNITURE_DESC_SET_SPIDER_DRESSER,,,,,,,
FURNITURE_NAME_SET_SPIDER_TV,Паук ТВ,,Tele arácnida,TV araignée,Spinnenfernseher,TV aracnide,TV de aranha
FURNITURE_DESC_SET_SPIDER_TV,,,,,,,
FURNITURE_NAME_SET_SPIDER_TOILET,Паучий туалет,,Retrete arácnido,Toilettes araignée,Spinnentoilette,WC aracnide,Privada de aranha
FURNITURE_DESC_SET_SPIDER_TOILET,,,,,,,
FURNITURE_NAME_SET_SPIDER_SHELF,Полка Паук,,Estante arácnido,Étagère araignée,Spinnenregal,Mensola aracnide,Estante de aranha
FURNITURE_DESC_SET_SPIDER_SHELF,,,,,,,
FURNITURE_NAME_SET_SPIDER_BED,Кровать-паук,,Cama arácnida,Lit araignée,Spinnenbett,Letto aracnide,Cama de aranha
FURNITURE_DESC_SET_SPIDER_BED,,,,,,,
FURNITURE_NAME_SET_SPIDER_SIDETABLE,Приставной столик «Паук»,,Mesilla arácnida,Table d'appoint araignée,Spinnenbeistelltisch,Tavolino aracnide,Mesa lateral de aranha
FURNITURE_DESC_SET_SPIDER_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_JUNK_SIDETABLE,Нежелательный столик,,Mesilla de desechos,Table d'appoint au rabais,Müllbeistelltisch,Tavolino di ciarpame,Mesa lateral de lixo
FURNITURE_DESC_SET_JUNK_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_JUNK_CHAIR,Мусорный стул,,Silla de desechos,Chaise au rabais,Müllstuhl,Sedia di ciarpame,Cadeira de lixo
FURNITURE_DESC_SET_JUNK_CHAIR,,,,,,,
FURNITURE_NAME_SET_JUNK_SHELF,Полка для мусора,,Estante de desechos,Étagère au rabais,Müllregal,Scaffale di ciarpame,Estante de lixo
FURNITURE_DESC_SET_JUNK_SHELF,,,,,,,
FURNITURE_NAME_SET_JUNK_BED,Мусорная кровать,,Cama de desechos,Lit au rabais,Müllbett,Letto di ciarpame,Cama de lixo
FURNITURE_DESC_SET_JUNK_BED,,,,,,,
FURNITURE_NAME_SET_JUNK_CABINET,Мусорный шкаф,,Vitrina de desechos,Placard au rabais,Müllschrank,Armadietto di ciarpame,Armário de lixo
FURNITURE_DESC_SET_JUNK_CABINET,,,,,,,
FURNITURE_NAME_SET_JUNK_TV,Мусорное ТВ,,Tele de desechos,TV au rabais,Müllfernseher,TV di ciarpame,TV de lixo
FURNITURE_DESC_SET_JUNK_TV,,,,,,,
FURNITURE_NAME_SET_JUNK_SUSPENDEDSHELF,Подвесная полка для мусора,,Estante de desechos colgado,Étagère suspendue au rabais,Müllhängeregal,Mensola sospesa di ciarpame,Prateleira de lixo
FURNITURE_DESC_SET_JUNK_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_JUNK_LAMP,Мусорная лампа,,Lámpara de desechos,Lampe au rabais,Mülllampe,Lampada di ciarpame,Luminária de lixo
FURNITURE_DESC_SET_JUNK_LAMP,,,,,,,
FURNITURE_NAME_SET_JUNK_DRESSER,Комод для мусора,,Aparador de desechos,Commode au rabais,Müllkleiderschrank,Comò di ciarpame,Cômoda de lixo
FURNITURE_DESC_SET_JUNK_DRESSER,,,,,,,
FURNITURE_NAME_SET_JUNK_TOILET,Мусорный туалет,,Retrete de desechos,Toilettes au rabais,Mülltoilette,WC di ciarpame,Privada de lixo
FURNITURE_DESC_SET_JUNK_TOILET,,,,,,,
FURNITURE_NAME_SET_SEWN_DRESSER,Сшитый комод,,Aparador remendado,Commode cousue,Stoffkleiderschrank,Comò rammendato,Cômoda costurada
FURNITURE_DESC_SET_SEWN_DRESSER,,,,,,,
FURNITURE_NAME_SET_SEWN_SIDETABLE,Сшитый столик,,Mesilla remendada,Table d'appoint cousue,Stoffbeistelltisch,Tavolino rammendato,Mesa lateral costurada
FURNITURE_DESC_SET_SEWN_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_SEWN_TABLE,Сшитый стол,,Mesa remendada,Table cousue,Stofftisch,Tavolo rammendato,Mesa costurada
FURNITURE_DESC_SET_SEWN_TABLE,,,,,,,
FURNITURE_NAME_SET_SEWN_COUCH,Сшитый Диван,,Sofá remendado,Canapé cousu,Stoffsofa,Divano rammendato,Sofá costurado
FURNITURE_DESC_SET_SEWN_COUCH,,,,,,,
FURNITURE_NAME_SET_SEWN_CHAIR,Сшитый стул,,Silla remendada,Chaise cousue,Stoffstuhl,Sedia rammendata,Cadeira costurada
FURNITURE_DESC_SET_SEWN_CHAIR,,,,,,,
FURNITURE_NAME_SET_SEWN_STOOL1,Сшитый Табурет А,,Taburete remendado A,Tabouret cousu A,Stoffhocker A,Sgabello rammendato A,Banqueta costurada A
FURNITURE_DESC_SET_SEWN_STOOL1,,,,,,,
FURNITURE_NAME_SET_SEWN_TOILET,Сшитый туалет,,Retrete remendado,Toilettes cousues,Stofftoilette,WC rammendato,Privada costurada
FURNITURE_DESC_SET_SEWN_TOILET,,,,,,,
FURNITURE_NAME_SET_SEWN_TV,Сшитый телевизор,,Tele remendada,TV cousue,Stofffernseher,TV rammendata,TV costurada
FURNITURE_DESC_SET_SEWN_TV,,,,,,,
FURNITURE_NAME_SET_SEWN_DOLL,Сшитая кукла,,Muñeca remendada,Poupée cousue,Stoffpuppe,Bambolotto rammendato,Boneca costurada
FURNITURE_DESC_SET_SEWN_DOLL,,,,,,,
FURNITURE_NAME_SET_SEWN_STOOL2,Сшитый Табурет Б,,Taburete remendado B,Tabouret cousu B,Stoffhocker B,Sgabello rammendato B,Banqueta costurada B
FURNITURE_DESC_SET_SEWN_STOOL2,,,,,,,
FURNITURE_NAME_SET_CAT_SHELF,Полка для кошек,,Estante gatuno,Étagère chat,Katzenregal,Scaffale a forma di gatto,Estante de gato
FURNITURE_DESC_SET_CAT_SHELF,,,,,,,
FURNITURE_NAME_SET_CAT_COUCH,Кошачий диван,,Sofá gatuno,Canapé chat,Katzensofa,Divano a forma di gatto,Sofá de gato
FURNITURE_DESC_SET_CAT_COUCH,,,,,,,
FURNITURE_NAME_SET_CAT_CHAIR,Кошачий стул,,Silla gatuna,Chaise chat,Katzenstuhl,Sedia a forma di gatto,Cadeira de gato
FURNITURE_DESC_SET_CAT_CHAIR,,,,,,,
FURNITURE_NAME_SET_CAT_BED,Кошачья кровать,,Cama gatuna,Lit chat,Katzenbett,Letto a forma di gatto,Cama de gato
FURNITURE_DESC_SET_CAT_BED,,,,,,,
FURNITURE_NAME_SET_CAT_TABLE,Стол для кошек А,,Mesa gatuna A,Table&nbsp;chat A,Katzentisch A,Tavolo a forma di gatto A,Mesa de gato A
FURNITURE_DESC_SET_CAT_TABLE,,,,,,,
FURNITURE_NAME_SET_CAT_TV,Кот ТВ,,Tele gatuna,TV chat,Katzenfernseher,TV a forma di gatto,TV de gato
FURNITURE_DESC_SET_CAT_TV,,,,,,,
FURNITURE_NAME_SET_CAT_BENCH,Кошачья скамейка,,Banco gatuno,Banc chat,Katzenbank,Panca a forma di gatto,Banco de gato
FURNITURE_DESC_SET_CAT_BENCH,,,,,,,
FURNITURE_NAME_SET_CAT_DRESSER,Кошачий комод,,Aparador gatuno,Commode chat,Katzenkleiderschrank,Comò a forma di gatto,Cômoda de gato
FURNITURE_DESC_SET_CAT_DRESSER,,,,,,,
FURNITURE_NAME_SET_CAT_SUSPENDED_SHELF,Подвесная полка для кошек,,Estante gatuno colgado,Étagère suspendue chat,Katzenhängeregal,Mensola sospesa a forma di gatto,Prateleira de gato
FURNITURE_DESC_SET_CAT_SUSPENDED_SHELF,,,,,,,
FURNITURE_NAME_SET_CAT_TABLE2,Стол для кошек Б,,Mesa gatuna B,Table&nbsp;B chat,Katzentisch B,Tavolo a forma di gatto B,Mesa de gato B
FURNITURE_DESC_SET_CAT_TABLE2,,,,,,,
FURNITURE_NAME_SET_WOODEN_SHELF,Деревянная Полка А,,Estante de madera A,Étagère en bois A,Holzregal A,Scaffale di legno A,Estante de madeira A
FURNITURE_DESC_SET_WOODEN_SHELF,,,,,,,
FURNITURE_NAME_SET_WOODEN_DRESSER,Деревянный комод,,Aparador de madera A,Commode en bois,Holzkleiderschrank,Comò di legno,Cômoda de madeira
FURNITURE_DESC_SET_WOODEN_DRESSER,,,,,,,
FURNITURE_NAME_SET_WOODEN_CHAIR,Деревянный стул,,Silla de madera,Chaise en bois,Holzstuhl,Sedia di legno,Cadeira de madeira
FURNITURE_DESC_SET_WOODEN_CHAIR,,,,,,,
FURNITURE_NAME_SET_WOODEN_TOILET,Деревянный туалет,,Retrete de madera,Toilettes en bois,Holztoilette,WC di legno,Privada de madeira
FURNITURE_DESC_SET_WOODEN_TOILET,,,,,,,
FURNITURE_NAME_SET_WOODEN_TABLE,Деревянный стол,,Mesa de madera,Table en bois,Holztisch,Tavolo di legno,Mesa de madeira
FURNITURE_DESC_SET_WOODEN_TABLE,,,,,,,
FURNITURE_NAME_SET_WOODEN_SINK,Деревянная Раковина,,Lavabo de madera,Évier en bois,Holzwaschbecken,Lavandino di legno,Pia de madeira
FURNITURE_DESC_SET_WOODEN_SINK,,,,,,,
FURNITURE_NAME_SET_WOODEN_LAMP,Деревянная лампа,,Lámpara de madera,Lampe en bois,Holzlampe,Lampada di legno,Luminária de madeira
FURNITURE_DESC_SET_WOODEN_LAMP,,,,,,,
FURNITURE_NAME_SET_WOODEN_TV,Деревянный телевизор,,Tele de madera,TV en bois,Holzfernseher,TV di legno,TV de madeira
FURNITURE_DESC_SET_WOODEN_TV,,,,,,,
FURNITURE_NAME_SET_WOODEN_SUSPENDEDSHELF,Подвесная деревянная полка,,Estante de madera colgado,Étagère suspendue en bois,Holzhängeregal,Mensola sospesa di legno,Prateleira de madeira
FURNITURE_DESC_SET_WOODEN_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_WOODEN_SHELF2,Деревянная Полка Б,,Estante de madera B,Étagère en bois B,Holzregal B,Mensola di legno B,Estante de madeira B
FURNITURE_DESC_SET_WOODEN_SHELF2,,,,,,,
FURNITURE_NAME_SET_SEWER_SINK,Канализационная раковина,,Lavabo de alcantarilla,Évier d'égout,Abwasserwaschbecken,Lavandino di fogna,Pia de esgoto
FURNITURE_DESC_SET_SEWER_SINK,,,,,,,
FURNITURE_NAME_SET_SEWER_SHELF,Канализационная полка,,Estante de alcantarilla,Étagère d'égout,Abwasserregal,Scaffale di fogna,Estante de esgoto
FURNITURE_DESC_SET_SEWER_SHELF,,,,,,,
FURNITURE_NAME_SET_SEWER_TABLE,Канализационный стол,,Mesa de alcantarilla,Table d'égout,Abwassertisch,Tavolo di fogna,Mesa de esgoto
FURNITURE_DESC_SET_SEWER_TABLE,,,,,,,
FURNITURE_NAME_SET_SEWER_DRESSER,Канализационный комод,,Aparador de alcantarilla,Commode d'égout,Abwasserkleiderschrank,Comò di fogna,Cômoda de esgoto
FURNITURE_DESC_SET_SEWER_DRESSER,,,,,,,
FURNITURE_NAME_SET_SEWER_CHAIR,Канализационный стул,,Silla de alcantarilla,Chaise d'égout,Abwasserstuhl,Sedia di fogna,Cadeira de esgoto
FURNITURE_DESC_SET_SEWER_CHAIR,,,,,,,
FURNITURE_NAME_SET_SEWER_SUSPENDEDSHELF,Подвесная канализационная полка,,Estante de alcantarilla colgado,Étagère suspendue d'égout,Abwasserhängeregal,Mensola sospesa di fogna,Prateleira de esgoto
FURNITURE_DESC_SET_SEWER_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_SEWER_TV,Канализационный телевизор,,Tele de alcantarilla,TV d'égout,Abwasserfernseher,TV di fogna,TV de esgoto
FURNITURE_DESC_SET_SEWER_TV,,,,,,,
FURNITURE_NAME_SET_SEWER_SMALL_TABLE,Канализационный столик,,Mesita de alcantarilla,Petite table d'égout,Kleiner Abwassertisch,Tavolino di fogna,Mesa pequena de esgoto
FURNITURE_DESC_SET_SEWER_SMALL_TABLE,,,,,,,
FURNITURE_NAME_SET_SEWER_STOOL,Канализационный табурет,,Taburete de alcantarilla,Tabouret d'égout,Abwasserhocker,Sgabello di fogna,Banqueta de esgoto
FURNITURE_DESC_SET_SEWER_STOOL,,,,,,,
FURNITURE_NAME_SET_SEWER_LAMP,Канализационная лампа,,Lámpara de alcantarilla,Lampe d'égout,Abwasserlampe,Lampada di fogna,Luminária de esgoto
FURNITURE_DESC_SET_SEWER_LAMP,,,,,,,
FURNITURE_NAME_SET_BONE_SHELF,Костяная полка,,Estante de huesos,Étagère en os,Knochenregal,Mensola d'osso,Estante de osso
FURNITURE_DESC_SET_BONE_SHELF,,,,,,,
FURNITURE_NAME_SET_BONE_SINK,Костная раковина,,Lavabo de huesos,Évier en os,Knochenwaschbecken,Lavandino d'osso,Pia de osso
FURNITURE_DESC_SET_BONE_SINK,,,,,,,
FURNITURE_NAME_SET_BONE_SIDETABLE,Приставной столик из костей,,Mesilla de huesos,Table d'appoint en os,Knochenbeistelltisch,Tavolino d'osso,Mesa lateral de osso
FURNITURE_DESC_SET_BONE_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_BONE_TABLE,Костяной стол,,Mesa de huesos,Table en os,Knochentisch,Tavolo d'osso,Mesa de osso
FURNITURE_DESC_SET_BONE_TABLE,,,,,,,
FURNITURE_NAME_SET_BONE_COUCH,Костяной диван,,Sofá de huesos,Canapé en os,Knochensofa,Divano d'osso,Sofá de osso
FURNITURE_DESC_SET_BONE_COUCH,,,,,,,
FURNITURE_NAME_SET_BONE_TV,Кость ТВ,,Tele de huesos,TV en os,Knochenfernseher,TV d'osso,TV de osso
FURNITURE_DESC_SET_BONE_TV,,,,,,,
FURNITURE_NAME_SET_BONE_CHANDELIER,Костяная люстра,,Araña de huesos,Chandelier en os,Knochenkronleuchter,Lampadario d'osso,Lustre de osso
FURNITURE_DESC_SET_BONE_CHANDELIER,,,,,,,
FURNITURE_NAME_SET_BONE_LAMP,Костяная лампа,,Lámpara de huesos,Lampe en os,Knochenlampe,Lampada d'osso,Luminária de osso
FURNITURE_DESC_SET_BONE_LAMP,,,,,,,
FURNITURE_NAME_SET_BONE_CHAIR,Костяной стул,,Silla de huesos,Chaise en os,Knochenstuhl,Sedia d'osso,Cadeira de osso
FURNITURE_DESC_SET_BONE_CHAIR,,,,,,,
FURNITURE_NAME_SET_BONE_PILE,Куча костей,,Pila de huesos,Pile d'os,Knochenhaufen,Pila d'osso,Pilha de ossos
FURNITURE_DESC_SET_BONE_PILE,,,,,,,
FURNITURE_NAME_SET_ROBO_SHELF,Робо Полка,,Estante robótico,Étagère robo,Roboregal,Robo-scaffale,Estante robô
FURNITURE_DESC_SET_ROBO_SHELF,,,,,,,
FURNITURE_NAME_SET_ROBO_SINK,Робо-раковина,,Lavabo robótico,Évier robo,Robowaschbecken,Robo-lavandino,Pia robô
FURNITURE_DESC_SET_ROBO_SINK,,,,,,,
FURNITURE_NAME_SET_ROBO_DESK,Робо-стол,,Escritorio robótico,Bureau robo,Roboschreibtisch,Robo-scrivania,Escrivaninha robô
FURNITURE_DESC_SET_ROBO_DESK,,,,,,,
FURNITURE_NAME_SET_ROBO_TABLE,Робо Стол,,Mesa robótica,Table robo,Robotisch,Robo-tavolo,Mesa robô
FURNITURE_DESC_SET_ROBO_TABLE,,,,,,,
FURNITURE_NAME_SET_ROBO_DRESSER,Робо-комод,,Aparador robótico,Commande robo,Robokleiderschrank,Robo-comò,Cômoda robô
FURNITURE_DESC_SET_ROBO_DRESSER,,,,,,,
FURNITURE_NAME_SET_ROBO_TV,Робо ТВ,,Tele robótica,TV robo,Robofernseher,Robo-TV,TV robô
FURNITURE_DESC_SET_ROBO_TV,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOBODY,Робо Тело,,Cuerpo robótico,Corps robo,Robokörper,Robo-corpo,Corpo de robô
FURNITURE_DESC_SET_ROBO_ROBOBODY,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOCHEST,Робо-сундук,,Pecho robótico,Coffre robo,Robooberkörper,Robo-torace,Torso de robô
FURNITURE_DESC_SET_ROBO_ROBOCHEST,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOARMS,Робо Армс,,Brazos robóticos,Bras robo,Roboarme,Robo-braccia,Braços de robô
FURNITURE_DESC_SET_ROBO_ROBOARMS,,,,,,,
FURNITURE_NAME_SET_ROBO_HEAD,Робо-голова,,Cabeza robótica,Tête robo,Robokopf,Robo-testa,Cabeça de robô
FURNITURE_DESC_SET_ROBO_HEAD,,,,,,,
FURNITURE_NAME_SET_GUTS_SHELF,Полка с кишками,,Estante visceral,Étagère entrailles,Eingeweideregal,Mensola di viscere,Estante de tripas
FURNITURE_DESC_SET_GUTS_SHELF,,,,,,,
FURNITURE_NAME_SET_GUTS_TABLE,Стол кишки,,Mesa visceral,Table entrailles,Eingeweidetisch,Tavolo di viscere,Mesa de tripas
FURNITURE_DESC_SET_GUTS_TABLE,,,,,,,
FURNITURE_NAME_SET_GUTS_SIDETABLE,Приставной столик Guts A,,Mesilla visceral A,Table d'appoint entrailles A,Eingeweidebeistelltisch A,Tavolino di viscere A,Mesa lateral de tripas A
FURNITURE_DESC_SET_GUTS_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_GUTS_SINK,Раковина кишок,,Lavabo visceral,Évier entrailles,Eingeweidewaschbecken,Lavandino di viscere,Pia de tripas
FURNITURE_DESC_SET_GUTS_SINK,,,,,,,
FURNITURE_NAME_SET_GUTS_SIDETABLE2,Приставной столик Guts B,,Mesilla visceral B,Table d'appoint entrailles B,Eingeweidebeistelltisch B,Tavolino di viscere B,Mesa lateral de tripas B
FURNITURE_DESC_SET_GUTS_SIDETABLE2,,,,,,,
FURNITURE_NAME_SET_GUTS_TOILET,Кишки Туалет,,Retrete visceral,Toilettes entrailles,Eingeweidetoilette,WC di viscere,Privada de tripas
FURNITURE_DESC_SET_GUTS_TOILET,,,,,,,
FURNITURE_NAME_SET_GUTS_LAMP,Лампа кишки А,,Lámpara visceral A,Lampe entrailles A,Eingeweidelampe A,Lampada di viscere A,Luminária de tripas A
FURNITURE_DESC_SET_GUTS_LAMP,,,,,,,
FURNITURE_NAME_SET_GUTS_LAMP2,Лампа кишки B,,Lámpara visceral B,Lampe entrailles B,Eingeweidelampe B,Lampada di viscere B,Luminária de tripas B
FURNITURE_DESC_SET_GUTS_LAMP2,,,,,,,
FURNITURE_NAME_SET_GUTS_SUSPENDEDSHELF,Подвесная полка для кишок,,Estante visceral colgado,Étagère suspendue entrailles,Eingeweidehängeregal,Mensola sospesa di viscere,Prateleira de tripas
FURNITURE_DESC_SET_GUTS_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_GUTS_TV,Гатс ТВ,,Tele visceral,TV entrailles,Eingeweidefernseher,TV di viscere,TV de tripas
FURNITURE_DESC_SET_GUTS_TV,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_TOILET,Хрустальный туалет,,Retrete de cristal,Toilettes cristal,Kristalltoilette,WC di cristallo,Privada de cristal
FURNITURE_DESC_SET_CRYSTAL_TOILET,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_DRESSER,Хрустальный комод А,,Aparador de cristal A,Commode cristal A,Kristallkleiderschrank A,Comò di cristallo A,Cômoda de cristal A
FURNITURE_DESC_SET_CRYSTAL_DRESSER,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_LAMP,Хрустальная лампа,,Lámpara de cristal,Lampe cristal,Kristalllampe,Lampada di cristallo,Luminária de cristal
FURNITURE_DESC_SET_CRYSTAL_LAMP,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_TABLE,Хрустальный стол,,Mesa de cristal,Table cristal,Kristalltisch,Tavolo di cristallo,Mesa de cristal
FURNITURE_DESC_SET_CRYSTAL_TABLE,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_CHANDELIER,Хрустальная люстра,,Araña de cristal,Chandelier cristal,Kristallkronleuchter,Lampadario di cristallo,Lustre de cristal
FURNITURE_DESC_SET_CRYSTAL_CHANDELIER,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_DRESSER2,Хрустальный комод Б,,Aparador de cristal B,Commode&nbsp;cristal B,Kristallkleiderschrank B,Comò di cristallo B,Cômoda de cristal B
FURNITURE_DESC_SET_CRYSTAL_DRESSER2,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_SIDETABLE,Хрустальный столик,,Mesilla de cristal,Table d'appoint cristal,Kristallbeistelltisch,Tavolino di cristallo,Mesa lateral de cristal
FURNITURE_DESC_SET_CRYSTAL_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_COUCH,Хрустальный диван,,Sofá de cristal,Canapé cristal,Kristallsofa,Divano di cristallo,Sofá de cristal
FURNITURE_DESC_SET_CRYSTAL_COUCH,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_CHAIR,Хрустальный стул,,Silla de cristal,Chaise cristal,Kristallstuhl,Sedia di cristallo,Cadeira de cristal
FURNITURE_DESC_SET_CRYSTAL_CHAIR,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_SHELF,Хрустальная полка,,Estante de cristal,Étagère cristal,Kristallregal,Mensola di cristallo,Estante de cristal
FURNITURE_DESC_SET_CRYSTAL_SHELF,,,,,,,
FURNITURE_NAME_SET_BLOCK_L,Блок «Л»,,Pieza L,Bloc «&nbsp;L&nbsp;»,„L“-Block,"Blocco ""L""","Bloco ""L"""
FURNITURE_DESC_SET_BLOCK_L,,,,,,,
FURNITURE_NAME_SET_BLOCK_T,Блок «Т»,,Pieza T,Bloc «&nbsp;T&nbsp;»,„T“-Block,"Blocco ""T""","Bloco ""T"""
FURNITURE_DESC_SET_BLOCK_T,,,,,,,
FURNITURE_NAME_SET_BLOCK_SQUARE,Блок «О»,,Pieza O,Bloc «&nbsp;O&nbsp;»,„O“-Block,"Blocco ""O""","Bloco ""O"""
FURNITURE_DESC_SET_BLOCK_SQUARE,,,,,,,
FURNITURE_NAME_SET_BLOCK_7,Перевернутый блок «L»,,Pieza L girada,Bloc «&nbsp;L&nbsp;» renversé,Gespiegelter „L“-Block,"Blocco ""L"" capovolto","Bloco ""L"" invertido"
FURNITURE_DESC_SET_BLOCK_7,,,,,,,
FURNITURE_NAME_SET_BLOCK_SQUARE2,"""О""Блок",,Pieza O,Bloc «&nbsp;O&nbsp;»,„O“-Block,"Blocco ""O""","Bloco ""O"""
FURNITURE_DESC_SET_BLOCK_SQUARE2,,,,,,,
FURNITURE_NAME_SET_BLOCK_LAYINGL,Укладка блока «L»,,Pieza L tumbada,Bloc «&nbsp;L&nbsp;» couché,Liegender „L“-Block,"Blocco ""L"" orizzontale","Bloco ""L"" deitado"
FURNITURE_DESC_SET_BLOCK_LAYINGL,,,,,,,
FURNITURE_NAME_SET_BLOCK_I,«Я» блокирую,,Pieza I,Bloc «&nbsp;I&nbsp;»,„I“-Block,"Blocco ""I""","Bloco ""I"""
FURNITURE_DESC_SET_BLOCK_I,,,,,,,
FURNITURE_NAME_SET_BLOCK_SIDET,Боковой блок «Т»,,Pieza T de lado,Bloc «&nbsp;T&nbsp;» de côté,Seitlicher „T“-Block,"Blocco ""T"" laterale","Bloco ""T"" de lado"
FURNITURE_DESC_SET_BLOCK_SIDET,,,,,,,
