KEY,en,notes,sp,fr,de,it,pt-br
PASSIVE_METALDETECTOR_DESC,5% шанс появления монеты при перемещении по плитке.,,5 % de probabilidad de generar una moneda al pasar sobre una casilla.,5&nbsp;% de chances de faire apparaître une pièce quand vous vous déplacez d'une case.,"5%ige Wahrscheinlichkeit, dass eine Münze erscheint, wenn du dich über ein Feld bewegst.",5% di probabilità di generare una moneta quando ti muovi su una casella.,5% de chance de gerar uma moeda quando você se move sobre um espaço.
PASSIVE_METALDETECTOR2_DESC,10% шанс появления монеты при перемещении по плитке.,,10 % de probabilidad de generar una moneda al pasar sobre una casilla.,10&nbsp;% de chances de faire apparaître une pièce quand vous vous déplacez d'une case.,"10%ige Wahrscheinlichkeit, dass eine Münze erscheint, wenn du dich über ein Feld bewegst.",10% di probabilità di generare una moneta quando ti muovi su una casella.,10% de chance de gerar uma moeda quando você se move sobre um espaço.
PASSIVE_DEATHPROOF_NAME,Смертельный,,A prueba de muerte,Intuable,Todessicher,A Prova di Morte,À Prova de Morte
PASSIVE_DEATHPROOF_DESC,"Если вы побеждены, у вас есть 25% шанс возродиться с 1 ОЗ в конце каждого раунда.",,"Cuando está abatida, esta unidad tiene un 25 % de probabilidad de resucitar con 1 PS al final de cada ronda.","Quand vous êtes K.O., vous avez 25&nbsp;% de chances de vous relever avec 1&nbsp;PV à la fin de chaque manche.","Bist du in Ohnmacht gefallen, besteht am Ende jeder Runde eine 25%ige Wahrscheinlichkeit, dass du mit 1&nbsp;LP wiederauferstehst.","Quando sei KO, hai il 25% di probabilità di resuscitare con 1 PS alla fine di ogni turno.","Enquanto estiver inconsciente, você possui 25% de chance de reviver com 1 PV no final de cada rodada."
PASSIVE_DEATHPROOF2_DESC,"Если вы побеждены, у вас есть 33% шанс возродиться с 10 HP и повышением всех характеристик в конце каждого раунда.",,"Mientras esta unidad está abatida, tiene un 33 % de probabilidad de resucitar con 10 PS y aumento total al final de cada ronda.","Quand vous êtes K.O., vous avez 33&nbsp;% de chances de vous relever avec 10&nbsp;PV et Hausse de stats à la fin de chaque manche.","Bist du in Ohnmacht gefallen, besteht am Ende jeder Runde eine 33%ige Wahrscheinlichkeit, dass du mit 10&nbsp;LP und einem Bonus auf alle Attribute wiederauferstehst.","Quando sei KO, hai il 33% di probabilità di resuscitare con 10 PS e Aumento delle Stastistiche alla fine di ogni turno.","Enquanto estiver inconsciente, você possui 33% de chance de reviver com 10 PV e todos os atributos aumentados no final de cada rodada."
PASSIVE_LEADER_NAME,Лидер,,Líder,Leader,Anführer,Leader,Líder
PASSIVE_LEADER_DESC,Соседние союзники имеют +1 к урону и +1 к дальности.,,Los aliados adyacentes obtienen +1 de daño y +1 de alcance.,Les alliés adjacents bénéficient de Dégâts&nbsp;+1&nbsp;et Portée&nbsp;+1.,Benachbarte Verbündete haben +1&nbsp;Schaden und +1&nbsp;Reichweite.,Gli alleati adiacenti hanno +1 al Danno e +1 al Raggio d'Azione.,Aliados adjacentes possuem +1 de dano e +1 de alcance.
PASSIVE_LEADER2_DESC,Все союзники имеют +1 к урону и +1 к дальности.,,Todos los aliados obtienen +1 de daño y +1 de alcance.,Tous les alliés bénéficient de Dégâts&nbsp;+1&nbsp;et Portée&nbsp;+1.,Alle Verbündeten haben +1&nbsp;Schaden und +1&nbsp;Reichweite.,Tutti gli alleati hanno +1 al Danno e +1 al Raggio d'Azione.,Todos os aliados possuem +1 de dano e +1 de alcance.
PASSIVE_MANGE_NAME,Манже,,Sarna,Gale,Räudig,Rogna,Sarna
PASSIVE_MANGE_DESC,"Нанесите яд 1 на юнитов, которые контактируют с вами.",,Inflige 1 de veneno a las unidades en contacto.,Inflige Poison&nbsp;+1&nbsp;aux unités qui vous touchent.,"Verursache Gift&nbsp;1 bei Einheiten, die dich berühren.",Infliggi Veleno 1 alle unità che entrano in contatto con te.,Aplique veneno 1 em unidades que entrarem em contato com você.
PASSIVE_MANGE2_DESC,"Нанесите 1 ед. яда, кровотечения, синяка, слабости и пиявки на юнитов, которые контактируют с вами.",,"Inflige 1 de veneno, hemorragia, moratón, debilidad y sanguijuela a las unidades que contactan con ella.","Inflige Poison, Saignement, Contusion, Vulnérabilité, and Sangsue&nbsp;+1&nbsp;aux unités qui vous touchent.","Verursache 1&nbsp;Gift, Blutung, Beulen, Schwäche und Blutegel bei Einheiten, die dich berühren.","Infliggi 1 Veleno, Sanguinamento, Livido, Debolezza e Sanguisuga alle unità che entrano in contatto con te.","Aplique 1 de veneno, sangramento, contusão, fraqueza e sanguessuga em unidades que entrarem em contato com você."
PASSIVE_ETANK_NAME,Электронный танк,,Tanque electrónico,Tank,E-Tank,Serbatoio Energetico,Tanque-E
PASSIVE_ETANK_DESC,Начинайте каждую битву с +20 незаполненным максимальным здоровьем.,,Empieza cada combate con +20 de máximo de salud sin rellenar.,Commence chaque combat avec +20&nbsp;PV max. vacants.,Beginne jeden Kampf mit +20 ungeheilten max. LP.,Inizi ogni battaglia con +20 salute massima non riempita.,Inicie cada batalha com +20 de saúde máxima não preenchida.
PASSIVE_ETANK2_DESC,Начинайте каждую битву с незаполненным максимальным здоровьем +50.,,Empieza cada combate con +50 de máximo de salud sin rellenar.,Commence chaque combat avec +50&nbsp;PV max. vacants.,Beginne jeden Kampf mit +50 ungeheilten max. LP.,Inizi ogni battaglia con +50 salute massima non riempita.,Inicie cada batalha com +50 de saúde máxima não preenchida.
PASSIVE_CAREFUL_NAME,Осторожно,,Cuidado,Précaution,Vorsichtig,Cautela,Cuidado
PASSIVE_CAREFUL_DESC,"Урон, который вы наносите другим союзникам, снижается до 0.",,El daño infligido a otros aliados se reduce a 0.,Les dégâts infligés aux alliés sont réduits à 0.,"Schaden, den du bei Verbündeten verursachen würdest, wird auf 0 reduziert.",Il danno che infliggi agli altri alleati viene ridotto a 0.,O dano que você causa a outros aliados é reduzido a 0.
PASSIVE_CAREFUL2_DESC,"Урон, который вы наносите другим союзникам, снижается до 0. Вы не можете накладывать дебаффы на других союзников.
Вы осторожны и во многих других отношениях.",,"El daño infligido a otros aliados se reduce a 0. No puede infligir desventajas a otros aliados.
También tiene cuidado en otros aspectos.",Les dégâts infligés aux alliés sont réduits à 0. Impossible d'infliger des malus aux alliés. Vous savez prendre des mesures de précaution.,"Schaden, den du bei Verbündeten verursachen würdest, wird auf 0 reduziert. Du kannst Verbündete nicht mit Schwächungen belegen.
Vorsichtig wirkt sich auf weitere Dinge aus.","Il danno che infliggi agli altri alleati viene ridotto a 0. Non puoi infliggere malus agli altri alleati.
Applichi molta cautela anche in diversi altri modi.","O dano que você causa a outros aliados é reduzido a 0. Você não pode aplicar enfraquecimentos em outros aliados.
Você toma cuidado de muitas outras formas também."
PASSIVE_DIRTYCLAWS_NAME,Грязные когти,,Garras sucias,Griffes souillées,Dreckige Klauen,Artigli Luridi,Garras Sujas
PASSIVE_DIRTYCLAWS_DESC,Ваши физические атаки по отравленным или истекающим кровью врагам наносят +1 к яду и/или кровотечению.,,Los ataques físicos a enemigos que sufren veneno o hemorragia infligen +1 de veneno o hemorragia.,Vos attaques physiques sur les ennemis affectés par Poison ou Saignement infligent Poison et/ou Saignement&nbsp;+1.,Deine physischen Angriffe verursachen bei vergifteten oder blutenden Gegnern +1&nbsp;Gift und/oder Blutung.,I tuoi attacchi fisici contro nemici affetti da Avvelenamento o Sanguinamento infliggono +1 Veleno e/o Sanguinamento.,Seus ataques físicos em inimigos envenenados ou com sangramento aplicam +1 de veneno e/ou sangramento.
PASSIVE_DIRTYCLAWS2_DESC,"Ваша базовая атака вызывает отравление 1 и кровотечение 1. 
Ваши физические атаки по отравленным или истекающим кровью врагам наносят +1 к яду и/или кровотечению.",,"El ataque básico inflige 1 de veneno y 1 de hemorragia.
Los ataques físicos a enemigos que sufren veneno o hemorragia infligen +1 de veneno o hemorragia.",Vos attaques de base infligent Poison&nbsp;+1&nbsp;et Saignement&nbsp;+1. Vos attaques physiques sur les ennemis affectés par Poison ou Saignement infligent Poison et/ou Saignement&nbsp;+1.,"Dein Grundangriff verursacht Gift&nbsp;1 und Blutung&nbsp;1.
Deine physischen Angriffe verursachen bei vergifteten oder blutenden Gegnern +1&nbsp;Gift und/oder Blutung.","Il tuo attacco base infligge +1 Veleno e/o Sanguinamento.
I tuoi attacchi fisici contro nemici affetti da Avvelenamento o Sanguinamento infliggono +1 Veleno e/o Sanguinamento.","Seu ataque básico aplica veneno 1 e sangramento 1.
Seus ataques físicos em inimigos envenenados ou com sangramento aplicam +1 de veneno e/ou sangramento."
PASSIVE_LATEBLOOMER_NAME,Поздний Блумер,,Floración tardía,Maturité tardive,Spätzünder,Maturazione Lenta,Amadurecimento Tardio
PASSIVE_LATEBLOOMER_DESC,На своем 5-м ходу вы получаете повышение всех характеристик на 3.,,"En el quinto turno, obtiene 3 de aumento total.","À votre 5e&nbsp;tour, vous gagnez Hausse de stats&nbsp;+3.",Erhalte in deinem fünften Zug einen Bonus von 3 auf alle Attribute.,"Al tuo quinto turno, ottieni Aumento delle Statistiche 3.","No seu quinto turno, obtenha todos os atributos aumentados 3."
PASSIVE_LATEBLOOMER2_DESC,На третьем ходу вы получаете повышение всех характеристик на 3.,,"En el tercer turno, obtiene 3 de aumento total.","À votre 3e&nbsp;tour, vous gagnez Hausse de stats&nbsp;+3.",Erhalte in deinem dritten Zug einen Bonus von 3 auf alle Attribute.,"Al tuo terzo turno, ottieni Aumento delle Statistiche 3.","No seu terceiro turno, obtenha todos os atributos aumentados 3."
PASSIVE_STUDY_NAME,Исследование,,Estudio,Étude,Forscher,Studio,Estudo
PASSIVE_STUDY_DESC,"Получите +1 [img:int] каждый раз, когда вы поражаете новый тип юнита атакой или способностью.",,Obtiene +1 [img:int] cuando golpea a un tipo de unidad nuevo con un ataque o una habilidad.,[img:int]&nbsp;+1&nbsp;quand vous touchez un nouveau type d'unité avec une attaque ou une compétence.,"Erhalte +1&nbsp;[img:int], wenn du einen neuen Einheitentyp mit einem Angriff oder einer Fähigkeit triffst.",Ottieni +1 all'[img:int] ogni volta che colpisci un nuovo tipo di unità con un attacco o un'abilità.,Obtenha +1 de [img:int] sempre que atingir um novo tipo de unidade com um ataque ou habilidade.
PASSIVE_STUDY2_DESC,"Получите +1 [img:int] каждый раз, когда вы поражаете новый тип юнита атакой или способностью. Все враги этого типа становятся отмеченными.",,Obtiene +1 [img:int] cuando golpea a un tipo de unidad nuevo con un ataque o una habilidad. Todos los enemigos de ese tipo sufren punto de mira.,[img:int]&nbsp;+1&nbsp;quand vous touchez un nouveau type d'unité avec une attaque ou une compétence. Tous les ennemis du même type sont Marqués.,"Erhalte +1&nbsp;[img:int], wenn du einen neuen Einheitentyp mit einem Angriff oder einer Fähigkeit triffst. Alle Einheiten dieses Typs werden markiert.",Ottieni +1 all'[img:int] ogni volta che colpisci un nuovo tipo di unità con un attacco o un'abilità. Tutti i nemici di quel tipo subiscono Marchio.,Obtenha +1 de [img:int] sempre que atingir um novo tipo de unidade com um ataque ou habilidade. Aplique marcação em todos os inimigos daquele tipo.
PASSIVE_SKILLSHARE_NAME,Поделиться навыками,,Habilidad compartida,Partage de compétences,Fähigkeiten teilen,Abilità Condivisa,Compartilhamento de Habilidades
PASSIVE_SKILLSHARE_DESC,Другая ваша пассивная способность передается другим кошкам в вашей группе в начале каждой битвы.,,La otra habilidad pasiva se comparte con el resto del grupo al inicio de cada combate.,Votre autre compétence passive est partagée avec les autres chats de votre équipe au début de chaque combat.,Deine andere Passivfähigkeit wird am Anfang jedes Kampfes mit den anderen Katzen deiner Gruppe geteilt.,L'altra tua abilità passiva viene condivisa con gli altri gatti del tuo gruppo all'inizio di ogni battaglia.,Sua outra habilidade passiva é compartilhada com os outros gatos do seu grupo no início de cada batalha.
PASSIVE_SKILLSHARE2_DESC,Другая ваша пассивная способность передается другим кошкам в вашей группе в начале каждой битвы. При размножении ваши дети всегда унаследуют вашу другую пассивку.,,"La otra habilidad pasiva se comparte con el resto del grupo al inicio de cada combate. Al criar, los gatitos siempre heredarán la otra pasiva.",Votre autre compétence passive est partagée avec les autres chats de votre équipe au début de chaque combat. Votre progéniture héritera toujours de votre autre passif.,Deine andere Passivfähigkeit wird am Anfang jedes Kampfes mit den anderen Katzen deiner Gruppe geteilt. Beim Züchten erhalten deine Kinder immer deine andere Passivfähigkeit.,"L'altra tua abilità passiva viene condivisa con gli altri gatti del tuo gruppo all'inizio di ogni battaglia. Durante la riproduzione, i tuoi cuccioli erediteranno sempre l'altra abilità passiva.","Sua outra habilidade passiva é compartilhada com os outros gatos do seu grupo no início de cada batalha. Ao procriar, seus filhos vão sempre herdar sua outra habilidade passiva."
PASSIVE_NATURALHEALING_NAME,Естественное исцеление,,Sanación natural,Guérison naturelle,Natürliche Heilung,Guarigione Naturale,Cura Natural
PASSIVE_NATURALHEALING_DESC,У вас есть +1 регенерация здоровья.,,Tiene +1 de regeneración de salud.,Régénération de santé&nbsp;+1.,Du hast +1&nbsp;Lebensregeneration.,Hai +1 a Rigenerazione Salute.,Você possui +1 de regeneração de saúde.
PASSIVE_NATURALHEALING2_DESC,"У вас есть +2 регенерации здоровья.
Соседние союзники получают +1 к регенерации здоровья.",,"Tiene +2 de regeneración de salud.
Los aliados adyacentes obtienen +1 de regeneración de salud.",Régénération de santé&nbsp;+2. Les alliés adjacents bénéficient de Régénération de santé&nbsp;+1.,"Du hast +2&nbsp;Lebensregeneration.
Benachbarte Verbündete erhalten +1&nbsp;Lebensregeneration.","Hai +2 a Rigenerazione Salute.
Gli alleati adiacenti ottengono +1 a Rigenerazione Salute.","Você possui +2 de regeneração de saúde.
Aliados adjacentes obtêm +1 de regeneração de saúde."
PASSIVE_LONGSHOT_NAME,Длинный выстрел,,Tiro largo,Tir à distance,Langschuss,Colpo a Distanza,Tiro Distante
PASSIVE_LONGSHOT_DESC,+1 дальность.,,+1 de alcance.,Portée&nbsp;+1.,+1&nbsp;Reichweite.,+1 al Raggio d'Azione.,+1 de alcance.
PASSIVE_LONGSHOT2_DESC,"+2 Дальность.
Ваши дальние атаки имеют +25% шанс критического удара.",,"+2 de alcance.
Los ataques a distancia tienen un +25 % de probabilidad de golpe crítico.",Portée&nbsp;+2. Vos attaques à distance ont Chances de coup critique&nbsp;+25&nbsp;%.,"+2&nbsp;Reichweite.
Dein Fernkampfangriff hat +25&nbsp;% kritische Trefferchance.","+2 al Raggio d'Azione.
I tuoi attacchi a distanza hanno +25% di probabilità di colpo critico.","+2 de alcance.
Seus ataques à distância possuem +25% de chance de crítico."
PASSIVE_FASTFOOTED_NAME,Быстрые ноги,,Patitas rapiditas,Pattes vives,Schnelle Fußarbeit,Passi Rapidi,Pés Velozes
PASSIVE_FASTFOOTED_DESC,Вы невосприимчивы к негативным эффектам плитки.,,Es inmune a los efectos negativos de las casillas.,Les effets de case négatifs ne vous affectent pas.,Du bist immun gegen negative Feldeffekte.,Sei immune agli effetti negativi delle caselle.,Você é imune a efeitos de espaço negativos.
PASSIVE_FASTFOOTED2_DESC,"Вы невосприимчивы к негативным эффектам плитки.
Вы можете перемещаться по юнитам и объектам.",,"Es inmune a los efectos negativos de las casillas.
Se puede mover a través de unidades y objetos.",Les effets de case négatifs ne vous affectent pas. Vous pouvez traverser les unités et les objets.,"Du bist immun gegen negative Feldeffekte.
Du kannst dich durch Einheiten und Objekte bewegen.","Sei immune agli effetti negativi delle caselle.
Puoi muoverti attraverso unità e oggetti.","Você é imune a efeitos de espaço negativos.
Você pode se mover através de unidades e objetos."
PASSIVE_SLUGGER_NAME,Слаггер,,Bateador,Castagne,Raufbold,Buttafuori,Rebatedor
PASSIVE_SLUGGER_DESC,+1 урон.,,+1 de daño.,Dégâts&nbsp;+1.,+1&nbsp;Schaden.,+1 al Danno.,+1 de dano.
PASSIVE_SLUGGER2_DESC,+3 урона.,,+3 de daño.,Dégâts&nbsp;+3.,+3&nbsp;Schaden.,+3 al Danno.,+3 de dano.
PASSIVE_PULP_NAME,Целлюлоза,,Destrucción,Viande,Brei,Polpa,Mingau
PASSIVE_PULP_DESC,"Когда вы убиваете юнита или уничтожаете труп, он становится мясом.",,"Al matar una unidad o destruir un cadáver, se convierte en carne.","Quand vous tuez une unité ou détruisez un cadavre, il devient de la viande.","Wenn du eine Einheit tötest oder eine Leiche zerstörst, wird sie zu Fleisch.","Quando uccidi un'unità o distruggi un cadavere, diventa carne.","Ao matar uma unidade ou destruir um corpo, eles se tornam carne."
PASSIVE_PULP2_DESC,"+4 урона.
Когда вы убиваете юнита или уничтожаете труп, он становится мясом.",,"+4 de daño.
Al matar una unidad o destruir un cadáver, se convierte en carne.","Dégâts&nbsp;+4. Quand vous tuez une unité ou détruisez un cadavre, il devient de la viande.","+4&nbsp;Schaden.
Wenn du eine Einheit tötest oder eine Leiche zerstörst, wird sie zu Fleisch.","+4 al Danno.
Quando uccidi un'unità o distruggi un cadavere, diventa carne.","+4 de dano.
Ao matar uma unidade ou destruir um corpo, eles se tornam carne."
PASSIVE_AMPLIFY_NAME,Усилить,,Amplificación,Amplification,Verstärker,Intensificazione,Amplificação
PASSIVE_AMPLIFY_DESC,+1 магический урон.,,+1 de daño mágico.,Dégâts magiques&nbsp;+1.,+1&nbsp;magischer Schaden.,+1 al Danno Magico.,+1 de dano mágico.
PASSIVE_AMPLIFY2_DESC,"+1 магический урон за каждые 3 [img:cha], которые у вас есть.",,+1 de daño mágico por cada 3 [img:cha] que tenga.,Dégâts magiques&nbsp;+1&nbsp;tous les 3&nbsp;[img:cha] que vous avez.,+1&nbsp;magischer Schaden pro 3&nbsp;[img:cha].,+1 al Danno Magico per ogni 3 [img:cha] che hai.,+1 de dano mágico para cada 3 de [img:cha] que você possui.
PASSIVE_DEATHBOON_NAME,Дар смерти,,Bendición letal,Faveur funeste,Todessegen,Dono della Morte,Benefício Mortal
PASSIVE_DEATHBOON_DESC,"Когда вы побеждены, все союзники повышают все характеристики.",,"Cuando esta unidad está abatida, todos los aliados obtienen aumento total.","Quand vous êtes K.O., tous les alliés gagnent Hausse de stats.","Wenn du in Ohnmacht fällst, erhalten alle Verbündeten einen Bonus auf alle Attribute.","Quando sei KO, tutti gli alleati ottengono Aumento delle Statistiche.","Ao ficar inconsciente, todos os aliados obtêm todos os atributos aumentados."
PASSIVE_DEATHBOON2_DESC,"Когда вы побеждены, все союзники повышают все характеристики на 2.",,"Cuando esta unidad está abatida, todos los aliados obtienen 2 de aumento total.","Quand vous êtes K.O., tous les alliés gagnent Hausse de stats&nbsp;+2.","Wenn du in Ohnmacht fällst, erhalten alle Verbündeten einen Bonus von 2 auf alle Attribute.","Quando sei KO, tutti gli alleati ottengono Aumento delle Statistiche 2.","Ao ficar inconsciente, todos os aliados obtêm todos os atributos aumentados 2."
PASSIVE_SANTASANGRE_NAME,Санта Сангре,,Santa sangre,Santa Sangre,Santa Sangre,Santa Sangre,Santo Sangue
PASSIVE_SANTASANGRE_DESC,"Когда вы сбиты с ног, союзники восстанавливают 12 HP. Избыточное исцеление преобразуется в Щит.",,"Cuando esta unidad es abatida, los aliados recuperan 12 PS. El exceso de curación se convierte en escudo.","Quand vous êtes K.O., les alliés récupèrent 12&nbsp;PV. Le soin excédentaire est converti en Défense.","Wenn du in Ohnmacht fällst, heilen sich Verbündete um 12&nbsp;LP. Überschüssige Heilung wird in Schild verwandelt.","Quando sei KO, gli alleati recuperano 12 PS. La guarigione in eccesso viene convertita in Scudo.","Ao ficar inconsciente, aliados curam 12 PV. Qualquer cura em excesso é convertida em escudo."
