KEY,en,notes,sp,fr,de,it,pt-br
ENEMY_LOUSE_DESC,Его атаки ближнего боя наносят синяк.,,Su ataque cuerpo a cuerpo inflige moratón.,Son attaque au corps à corps inflige Contusion.,Ihr Nahkampfangriff verursacht Beulen.,Il suo attacco corpo a corpo infligge Livido.,Seu ataque corpo-a-corpo aplica contusão.
ENEMY_LILRAT_NAME,Маленькая Крыса,,Ratilla,Raton,Rattenfratz,Topolino,Ratinho
ENEMY_LILRAT_DESC,Перечеркивает прямую линию.,,Corre en línea recta.,Fonce en ligne droite.,Stürmt in einer geraden Linie auf Gegner.,Scatta in linea retta.,Dá um impulso em linha reta.
ENEMY_POOTER_NAME,Путер,,Moscón,Mouche cracheuse,Pupser,Puzzone,Pooter
ENEMY_POOTER_DESC,Атакующий дальнего боя. Летающий.,,Atacante a distancia. Vuela.,Attaque à distance. Vol.,Fernkämpfer. Fliegt.,Specialista degli attacchi a distanza. Volante.,Ataque à distância. Voador.
ENEMY_WORM_NAME,Червь,,Lombriz,Ver,Wurm,Verme,Minhoca
ENEMY_WORM_DESC,Уходит при повреждении.,,Se aleja al sufrir daño.,Recule quand il est touché.,"Bewegt sich weg, wenn er Schaden erleidet.",Si allontana quando subisce danno.,Afasta-se quando sofre dano.
ENEMY_MADLAD_NAME,безумный парень,,Demente,Zinzolin,Verrückter Kerl,Pazzoide,Pirado
ENEMY_MADLAD_DESC,,,,,,,
ENEMY_GASSER_NAME,Гассер,,Gaseador,Roteur,Furzer,Fumigatore,Gasinho
ENEMY_GASSER_DESC,,,,,,,
ENEMY_RAGER_NAME,Рейджер,,Rabioso,Croqueur,Wüter,Rabbioso,Raiveiro
ENEMY_RAGER_DESC,,,,,,,
ENEMY_CUTTER_NAME,Резак,,Cutter,Trancheur,Schneider,Tagliatore,Cortador
ENEMY_CUTTER_DESC,,,,,,,
ENEMY_BLORB_NAME,Блорб,,Blorb,Excroissance,Blorb,Blobbo,Blorb
ENEMY_BLORB_DESC,Его дальняя атака накладывает замедление в определенной области.,,Su ataque a distancia inflige ralentización en un área.,Son attaque à distance inflige Lenteur dans une zone donnée.,Sein Fernkampfangriff verursacht in einem bestimmten Bereich Verlangsamung.,Il suo attacco a distanza infligge Rallentamento all'interno di un'area.,Sem ataque à distância aplica lentidão em uma área.
ENEMY_FLORB_NAME,Флорб,,Florb,Excroissance flottante,Florb,Flobbo,Florb
ENEMY_FLORB_DESC,Его дальняя атака накладывает замедление. Летающий.,,Su ataque a distancia inflige ralentización. Vuela.,Son attaque à distance inflige Lenteur. Vol.,Sein Fernkampfangriff verursacht Verlangsamung. Fliegt.,Il suo attacco a distanza infligge Rallentamento. Volante.,Sem ataque à distância aplica lentidão. Voador.
ENEMY_LUMPY_NAME,Комковатый,,Amorfo,Ratatouille,Schleimi,Amorfo,Protuberante
ENEMY_LUMPY_DESC,Его дальняя атака создает крипа. Создает крипа при получении урона.,,Su ataque a distancia crea líquido tóxico. También lo genera al sufrir daño.,Son attaque à distance disperse de la bave toxique. De la bave toxique apparaît quand il subit des dégâts.,"Sein Fernkampfangriff erschafft Ekelschleim. Erschafft Ekelschleim, wenn er Schaden erleidet.",Il suo attacco a distanza crea Melma. Genera melma quando subisce danno.,Seu ataque à distância gera videiras. Gera videiras ao sofrer dano.
ENEMY_LEAPER_NAME,Прыгун,,Saltarino,Bondisseur,Springer,Salterino,Saltador
ENEMY_LEAPER_DESC,Его атака в прыжке наносит урон и отбрасывает все соседние юниты.,,Su ataque con salto inflige daño a todas las unidades adyacentes y las hace retroceder.,Son attaque sautée inflige des dégâts et repousse les unités adjacentes.,Sein Sprungangriff verursacht Schaden bei allen benachbarten Einheiten und stößt sie zurück.,Il suo attacco in balzo infligge danno e respinge tutte le unità adiacenti.,Seu ataque de salto causa dano e empurra para trás todas as unidades adjacentes.
ENEMY_BOMBFLY_NAME,Бомба летать,,Mosca explosiva,Mouche explosive,Bombenfliege,Mosca Esplosiva,Mosca-Bomba
ENEMY_BOMBFLY_DESC,"Взрывается, когда умирает.",,Estalla al morir.,Explose à sa mort.,"Explodiert, wenn sie stirbt.",Esplode alla morte.,Explode ao morrer.
ENEMY_BURFERMAGGOT_NAME,Бурфер Личинка,,Gusano potador,Asticot tumoral,Spuckmade,Larva Giardiniera,Verme Saliveiro
ENEMY_BURFERMAGGOT_DESC,Его атака окружает юнитов шипами.,,Su ataque rodea a las unidades con grumos espinosos.,Son attaque entoure les unités d'amas épineux.,Ihr Angriff umgibt Einheiten mit dornigen Klumpen.,Il suo attacco circonda le unità con una massa di spine.,Seu ataque cerca unidades com caroços espinhentos.
ENEMY_CHARGEYMAGGOT_NAME,Чарджи Мэггот,,Gusano embestidor,Asticot bélier,Stürmermade,Larva da Carica,Verme Atacante
ENEMY_CHARGEYMAGGOT_DESC,Его рывок имеет Пробивной удар.,,Su ataque relámpago inflige pisotón.,Son attaque impulsée inflige Piétinement.,Ihr Ansturmangriff verfügt über Trampel.,Il suo attacco in scatto infligge Calpestamento.,Seu ataque de impulso possui atropelamento.
ENEMY_DIGGYMAGGOT_NAME,Дигги Мэггот,,Gusano cavador,Asticot fouisseur,Gräbermade,Larva Scavatrice,Verme Escavador
ENEMY_DIGGYMAGGOT_DESC,Его рукопашная атака имеет шанс оглушить. Меняется местами с отрядом для перемещения.,,Su ataque cuerpo a cuerpo puede aturdir. Se cambia el sitio con otra unidad para moverse.,Son attaque au corps à corps a des chances d'infliger Étourdissement. Échange sa place avec une unité pour se déplacer.,"Ihr Nahkampfangriff kann betäuben. Tauscht die Position mit einer anderen Einheit, um sich fortzubewegen.",Il suo attacco corpo a corpo ha una probabilità di infliggere Stordimento. Per muoversi si scambia di posto con un'altra unità.,Seu ataque corpo-a-corpo possui uma chance de atordoar. Troca de lugar com uma unidade para se mover.
ENEMY_TARBABY_NAME,Дегтярный ребенок,,Bebé brea,Goudronet,Teerbaby,Bebè di Catrame,Bebê Piche
ENEMY_TARBABY_DESC,"Его дальняя атака создает плитки смолы.
Оставляет на своем пути плитки смолы.",,"Su ataque a distancia crea casillas de brea.
Deja casillas de brea a su paso.","Son attaque à distance crée des cases de goudron.
Laisse des cases de goudron sur son passage.","Sein Fernkampfangriff erzeugt Teerfelder.
Hinterlässt Teerfelder, wenn es sich fortbewegt.","Il suo attacco a distanza crea caselle di Catrame.
Lascia delle caselle di Catrame lungo il suo percorso.","Seu ataque à distância cria espaços de piche.
Deixa espaços de piche em seu caminho."
ENEMY_CHUMBAG_NAME,Чам Сумка,,Bolsa de cebo,Sac d'asticots,Ködertasche,Sacco di Pastura,Sacupincha
ENEMY_CHUMBAG_DESC,"Его атака на дальнюю дистанцию ​​порождает личинок, если он попадает в пустую плитку. Становится Чамми, когда его убивают. Стационарный.",,Su ataque a larga distancia genera gusanos si golpea en una casilla vacía. Se transforma en cebín al morir. No se mueve.,Son attaque à longue portée invoque des asticots si elle touche une case vide. Se change en caillasticot quand il est tué. Stationnaire.,"Ihr Fernkampfangriff ruft Maden, wenn er ein leeres Feld trifft. Wird zu Ködi, wenn sie stirbt. Stationär.",Il suo attacco a lunga distanza genera Larve quando colpisce caselle vuote. Se ucciso diventa un Pasturello. Stazionario.,Seu ataque de longa distância gera vermes se acertar um espaço vazio. Torna-se um cupincha ao ser morto. Fixo.
ENEMY_CHUMMY_NAME,Чамми,,Cebín,Caillasticot,Ködi,Pasturello,Cupincha
ENEMY_CHUMMY_DESC,Перечеркивает прямую линию.,,Corre en línea recta.,Fonce en ligne droite.,Stürmt in einer geraden Linie auf Gegner.,Scatta in linea retta.,Dá um impulso em linha reta.
ENEMY_HOST_NAME,Хост,,Huésped,Hôte,Wirt,Ospite,Hospedeiro
ENEMY_HOST_DESC,"Выстреливает 3 снаряда подряд.
Отражает снаряды и отбрасывает соприкоснувшихся с ним юнитов.
Стационарный.",,"Dispara 3 proyectiles en dispersión.
Devuelve los proyectiles y hace retroceder a las unidades que entran en contacto.
No se mueve.","Tire 3&nbsp;projectiles en éventail.
Renvoie les projectiles et repousse les unités qui le touchent.
Stationnaire.","Verschießt drei Geschosse in verschiedene Richtungen.
Reflektiert Geschosse und stößt Einheiten, die ihn berühren, zurück.
Stationär.","Spara tre proiettili a raggiera.
Respinge i proiettili e i nemici che vi entrano in contatto.
Stazionario.","Dispara 3 projéteis que se espalham.
Reflete projéteis e empurra para trás unidades que entram em contato.
Fixo."
ENEMY_PILE_NAME,Куча,,Mojón,Étron,Haufen,Pila,Pilha
ENEMY_PILE_DESC,Его дальняя атака порождает Дипов. Стационарный.,,Su ataque a distancia genera catalinos. No se mueve.,Son attaque à distance fait apparaître des cacas. Stationnaire.,Sein Fernkampfangriff erzeugt Köttel. Stationär.,Il suo attacco a distanza genera Cacchine. Stazionario.,Seu ataque à distância gera dips. Imóvel.
ENEMY_FLOATER_NAME,поплавок,,Chiribita,Crotte,Würstchen,Galleggiatore,Flutuante
ENEMY_FLOATER_DESC,"Атакующий в ближнем бою, который уходит после нанесения урона.",,Este atacante cuerpo a cuerpo se aleja tras infligir daño.,Attaque au corps à corps et se replie après avoir infligé des dégâts.,"Nahkämpfer, der sich wegbewegt, nachdem er Schaden verursacht.",Specialista del corpo a corpo che si allontana dopo aver inflitto danno.,Agressor corpo-a-corpo que se afasta após causar dano.
ENEMY_WATERLEECH_NAME,Водяная пиявка,,Sanguijuela acuática,Sangsue aquatique,Wasseregel,Sanguisuga Acquatica,Sanguessuga aquática
ENEMY_WATERLEECH_DESC,"Ищет воду, когда она закончилась.
Находясь в воде, совершает рывок по прямой линии с Lifesteal, проходящим сквозь юнитов.",,"Cuando no tiene agua, la busca.
En el agua, corre en línea recta con robavida y atraviesa a las unidades.","Recherche de l'eau quand elle en manque.
Quand elle est dans l'eau, elle fonce en ligne droite et inflige Vol de vie aux unités qu'elle traverse.","Sucht das Wasser auf, wenn er sich an Land befindet.
Wenn er im Wasser ist, kann er in einer geraden Linie durch Gegner stürmen und Leben absaugen.","Cerca l'acqua quando è fuori da essa.
Mentre vi è immersa, scatta in linea retta con Rubavita ed è in grado di attraversare le unità.","Busca água quando está fora dela.
Enquanto está na água, dá um impulso em linha reta com roubo de vida que atravessa unidades."
ENEMY_DADDYSHARK_NAME,Папа Акула,,Papá tiburón,Papa requin,Papa Hai,Squalo Papà,Papai Tubarão
ENEMY_DADDYSHARK_DESC,"Мгновенно убьет все, до чего дотянется!
Получает бонусные ходы за каждого истекающего кровью отряда.
Основное внимание уделяется кровоточащим юнитам.",,"¡Mata al instante todo aquello que tiene al alcance!
Juega turnos de bonificación por cada unidad con hemorragia.
Se centra en las unidades con hemorragia.","Tue sur le coup tout ce qui est à sa portée.
Bénéficie d'un tour bonus pour chaque unité qui saigne.
Cible en priorité les unités qui saignent.","Tötet jede Einheit sofort, die er erreichen kann!
Bekommt zusätzliche Züge pro blutender Einheit.
Bevorzugt blutende Einheiten.","Uccide all'istante tutto ciò che riesce a toccare!
Ottiene turni bonus per ogni unità con Sanguinamento.
Si concentra sulle unità con Sanguinamento.","Mata instantaneamente qualquer coisa que consiga alcançar!
Utiliza turnos adicionais para cada unidade com sangramento.
Concentra-se em unidades com sangramento."
ENEMY_BABYSHARK_NAME,Детская акула,,Bebé tiburón,Bébé requin,Babyhai,Squalo Bebè,Bebê Tubarão
ENEMY_BABYSHARK_DESC,"Его укус вызывает кровотечение, но не наносит урона.
Получает бонусные ходы за каждого истекающего кровью отряда.
Основное внимание уделяется кровоточащим юнитам.",,"Inflige hemorragia con sus mordiscos, pero sin causar daño.
Juega turnos de bonificación por cada unidad con hemorragia.
Se centra en las unidades con hemorragia.","Sa morsure inflige Saignement mais aucun dégât.
Bénéficie d'un tour bonus pour chaque unité qui saigne.
Cible en priorité les unités qui saignent.","Sein Biss verursacht Blutung, aber keinen Schaden.
Bekommt zusätzliche Züge pro blutender Einheit.
Bevorzugt blutende Einheiten.","Il suo morso infligge Sanguinamento, ma non danno.
Ottiene turni bonus per ogni unità con Sanguinamento.
Si concentra sulle unità con Sanguinamento.","Sua mordida aplica sangramento, mas não causa dano.
Utiliza turnos adicionais para cada unidade com sangramento.
Concentra-se em unidades com sangramento."
ENEMY_TENTICKLES_NAME,Десять щекоток,,Pulpillitas,Tentaccule,Zehntakel,Solletitentacolo,Dez Cócegas
ENEMY_TENTICKLES_DESC,"Может атаковать любую плитку, прилегающую к воде.
Телепортируется через водные плитки.",,"Puede atacar cualquier casilla adyacente al agua.
Se teletransporta a través de las casillas de agua.","Peut attaquer toute case adjacente à de l'eau.
Se téléporte à travers les cases d'eau.","Kann jedes Feld angreifen, das an Wasser angrenzt.
Teleportiert sich durch Wasserfelder.","Può attaccare qualunque casella adiacente all'acqua.
Si teletrasporta tra le caselle d'acqua.","Pode atacar qualquer espaço adjacente à agua.
Teletransporta-se através de espaços de água."
ENEMY_FETUS_NAME,Плод,,Feto,Fœtus,Fötus,Feto,Feto
ENEMY_FETUS_DESC,"Атакующий дальнего боя.
Может пить воду, чтобы исцелиться.",,"Atacante a distancia.
Puede beber agua para curarse.","Attaque à distance.
Peut boire de l'eau pour se soigner.","Fernkämpfer.
Kann Wasser trinken, um sich zu heilen.","Specialista degli attacchi a distanza.
Può curarsi bevendo acqua.",Agressor à distância...
ENEMY_FETUSGUSHER_NAME,Фетус Гушер,,Fetacuoso,Fœtus cracheur,Fötusspritzer,Feto Zampillante,Feto Jorrador
ENEMY_FETUSGUSHER_DESC,"Его водная атака толкает все юниты по прямой линии.
Чтобы атаковать, необходимо находиться в воде. Ищет воду, когда находится вне воды.",,"Su ataque acuoso empuja a todas las unidades en línea recta.
Debe estar en el agua para atacar. Si no tiene agua, la busca.","Son attaque d'eau pousse toutes les unités en ligne droite.
Doit être dans l'eau pour attaquer. Recherche de l'eau quand il en manque.","Sein Wasserangriff stößt alle Einheiten in einer geraden Linie zurück.
Muss sich im Wasser aufhalten, um angreifen zu können. Sucht das Wasser auf, wenn er sich an Land befindet.","Il suo attacco acquatico respinge tutte le unità in linea retta.
Per poter attaccare deve trovarsi in acqua. Quando è al di fuori di essa, cerca di raggiungerla.","Seu ataque aquático pune todas as unidades em uma linha reta.
Precisa estar na água para atacar. Busca água quando está fora dela."
ENEMY_BAT_NAME,летучая мышь,,Murciélago,Chauve-souris,Fledermaus,Pipistrello,Morcego
ENEMY_BAT_DESC,"Его шквал ближнего боя вызывает замешательство.
50% шанс уклонения.
Летающий.",,"Su ráfaga cuerpo a cuerpo inflige confusión.
50 % de probabilidad de esquiva.
Vuela.","Son déluge de coups au corps à corps inflige Confusion.
Chances d'esquive +50&nbsp;%.
Vol.","Ihr Nahkampfangriff verursacht Verwirrung.
50&nbsp;% Ausweichchance.
Fliegt.","La sua raffica corpo a corpo infligge Confusione.
Ha un 50% di probabilità di schivare.
Vola.","Seu ataque corpo-a-corpo de rajada aplica confusão.
50% de chance de esquiva.
Voador."
ENEMY_BRAINDRAIN_NAME,Утечка мозгов,,Chupasesos,Groservo,Hirnsauger,Drenacervello,Dreno de Cérebro
ENEMY_BRAINDRAIN_DESC,"Бесконечная магическая атака дальнего боя.
Отменяет заклинание один раз за ход.
Если он начинает свой ход, когда контрзаклинание все еще доступно, он поглощает его, получая положительный эффект.",,"Lanza ataques mágicos a una distancia ilimitada.
Contrarresta un hechizo por turno.
Si comienza el turno con el contrahechizo disponible, lo absorbe a cambio de una ventaja.","Attaquant magique à distance aux attaques infinies.
Contre un sort une fois par tour.
S'il commence son tour avec son contre-sort encore disponible, il l'absorbe pour obtenir un bonus.","Magischer Fernkämpfer mit unendlicher Reichweite.
Kontert einen Zauber pro Zug.
Ist sein Zauberkonter am Anfang des Zuges noch verfügbar, absorbiert er ihn und wird gestärkt.","Specialista degli attacchi magici a raggio d'azione infinito.
Contrattacca un incantesimo per ogni turno.
Se comincia il turno con il suo contrattacco per incantesimi ancora disponibile, lo converte in un bonus.","Agressor à distância mágico e infinito.
Contra-ataca um encantamento por turno.
Ao iniciar seu turno com um contra-feitiço ainda disponível, o absorve para obter um fortalecimento."
ENEMY_SKULLOOZE_NAME,Череп слизняк,,Flujo craneal,Crâne gluant,Totenkopfschleim,Fluido Cranico,Vazamento de Crânio
ENEMY_SKULLOOZE_DESC,Его дальняя атака уничтожает оборудование.,,Su ataque a distancia destroza el equipamiento.,Son attaque à distance détruit l'équipement.,Sein Fernkampfangriff zerstört Ausrüstungsstücke.,Il suo attacco a distanza distrugge gli equipaggiamenti.,Seu ataque à distância destrói equipamentos. 
ENEMY_KORBEE_NAME,Корби,,Korbee,Aspiratout,Korbie,Korbee,Korbee
ENEMY_KORBEE_DESC,"Засасывает юниты, а затем выплевывает их как можно дальше.","tooltip said ""random direction"" this wasnt correct, neither is ""different direction"", it spits them whichever direction has the longest path before a collision. unsure how specific the tooltip needs to be",Se traga a la unidades antes de escupirlas todo lo lejos que pueda.,"Aspire les unités en ligne droite, puis les recrache aussi loin que possible.","Saugt Einheiten an und spuckt sie so weit weg aus, wie möglich.","Risucchia le unità, poi le sputa il più lontano possibile.",Suga unidades e então as cospe tão longe quanto possível.
ENEMY_MEGAFETUS_NAME,Мега плод,,Megafeto,Mégafœtus,Megafötus,Mega Feto,Mega Feto
ENEMY_MEGAFETUS_DESC,"Выполняет вращательную атаку.
При попадании попытается контратаковать левой рукой.",,"Lanza un ataque giratorio.
Intenta contratacar con el brazo izquierdo al recibir un golpe.","Effectue une attaque tournoyante.
Tente de contre-attaquer avec son bras gauche quand on le touche.","Wirbelangriff.
Kontert mit seinem linken Arm, wenn er getroffen wird.","Esegue un attacco rotante.
Quando viene colpito, cerca di contrattaccare usando il suo braccio sinistro.","Realiza um ataque giratório.
Tenta contra-atacar com seu braço esquerdo ao sofrer golpes."
ENEMY_TATTERS_NAME,лохмотья,,Andrajos,Guenille,Lumpi,Laceratore,Tateador
ENEMY_TATTERS_DESC,"Его атака накладывает эффект Leech на все юниты в области.
Наложит Hex на юнитов, нанесших ему урон.
Нежить.",,"Su ataque inflige sanguijuela a todas las unidades en un área.
Inflige mal de ojo a las unidades que le infligen daño.
Muerto viviente.","Son attaque inflige Sangsue à toutes les unités dans une zone donnée.
Inflige Magie vorace aux unités qui le blessent.
Mort-vivant.","Seine Angriffe verursachen Blutegel bei allen Einheiten in einem bestimmten Bereich.
Verhext Einheiten, die ihm Schaden zufügen.
Untot.","Il suo attacco infligge Sanguisuga a tutte le unità all'interno di un'area.
Infligge Maledizione a tutte le unità da cui subisce danno.
Non morto.","Seu ataque aplica sanguessuga em todas as unidades em uma área.
Aplica bruxaria em unidades que atacam.
Morto-vivo."
ENEMY_SPOOKIE_NAME,Привидение,,Fantasmito,Trouille,Spuki,Spauracchio,Sustinho
ENEMY_SPOOKIE_DESC,"Его рукопашная атака истощает ману.
Нежить.",,"Su ataque cuerpo a cuerpo desgasta el maná.
Muerto viviente.","Son attaque au corps à corps draine le mana.
Mort-vivant.","Sein Nahkampfangriff saugt Mana ab.
Untot.","Il suo attacco corpo a corpo assorbe mana.
Non morto.","Seu ataque corpo-a-corpo drena mana.
Morto-vivo."
ENEMY_SCARY_NAME,Страшно,,Espantajo,Frayeur,Grusli,Spavento,Assusto
ENEMY_SCARY_DESC,"Его атаки ближнего боя могут вызвать страх или гибель!
Нежить.",,"Su ataque cuerpo a cuerpo inflige miedo o condenación.
Muerto viviente.","Ses attaques au corps à corps peuvent infliger Peur ou Damnation.
Mort-vivant.","Seine Nahkampfangriffe können Angst oder Todesurteil verursachen!
Untot.","Il suo attacco corpo a corpo può infliggere Paura o Sciagura!
Non morto.","Seu ataque corpo-a-corpo aplica medo ou ruína.
Morto-vivo."
ENEMY_REAPER_NAME,Жнец,,Parca,Faucheur,Schnitter,Mietitore,Ceifador
